I'm saying no.	Estou dizendo que não.
My dog didn't do that.	Meu cachorro não fez isso.
Fill out the application.	Preencha a ficha de inscrição.
I am in search of a new house.	Estou na procura de uma nova casa.
Tom sorted the mail.	Tom foi selecionado pelo correio.
Alice is sleeping in her room.	Alice está dormindo em seu quarto.
I've got to do what I believe is right.	Eu tenho que fazer o que acredito ser certo.
Take precautions.	Tomem precauções.
I promise you I'll look after you.	Eu prometo que vou cuidar de você.
Tom works on Park Street.	Tom trabalha na Park Street.
People who hurt children do not deserve mercy.	Quem machuca crianças não merece clemência.
I hate it when that happens.	Eu odeio quando isso acontece.
Do you want to bring your family to Germany?	Você quer trazer a sua família para a Alemanha?
Her eyes scintillate with joy.	Os olhos dela cintilam de alegria.
Tom really knows how to tell a story.	Tom realmente sabe como contar uma história.
Tom died a short time later.	Tom morreu pouco tempo depois.
Tom knows the names of all his customers.	Tom sabe o nome de todos os clientes dele.
I hope that some scientist will soon discover a cure for AIDS.	Espero que algum cientista logo descubra uma cura para a AIDS.
It's a family tradition.	Esta é uma família de tradição.
How often do you play chess?	Com que frequência você joga xadrez?
He asked his friend.	Ele perguntou ao amigo.
What'll we talk about?	Vamos conversar sobre o quê?
The festival will start tomorrow.	O festival começa amanhã.
We talk once in a blue moon.	Conversamos uma vez na vida, outra na morte.
Tom likely won't wait for us.	O Tom provavelmente não vai esperar pela gente.
Tom really is a nice guy!	Tom é realmente um cara legal!
He had been repairing the car and looked tired when I arrived home.	Ele estivera consertando o carro e parecia cansado quando chegou em casa.
Tom barely recognized Mary.	Tom mal reconheceu Maria.
The mission was aborted.	A missão foi abortada.
I think we have to make a decision.	Eu acho que devemos tomar uma decisão.
More than 60% of people in Britain maintain an active Facebook profile.	Mais de 60% dos britânicos mantêm uma conta do Facebook ativa.
Do you have a band?	Você tem uma banda?
She waited longingly for the return of her husband.	Ela esperou anciosamente pela volta do seu marido.
Tom wished he could fly.	Tom desejava poder voar.
Tom is a glaciologist.	Tom é glaciologista.
I don't like pepperoni pizza very much.	Eu não gosto muito de pizza de pepperoni.
Tom was so drunk that he didn't even recognize me.	Tom estava tão bêbado que ele nem me reconheceu.
Tom was a brave soldier.	Tom foi um bravo soldado.
Tom wants to speak to you.	Tom quer falar com você.
The concert is about to start.	O show já vai começar.
Have you ever thought about doing that?	Você já pensou em fazer isso?
I enjoy movies.	Eu gosto de filmes.
Your car is behind this bank.	Teu carro está atrás deste banco.
Tom is not available at the moment. May I take a message?	Tom não está disponível no momento. Deseja deixar recado?
That doesn't trouble me.	Isso não me incomoda.
Tom is camping with some friends.	Tom está acampando com alguns amigos.
I've been here since 2013.	Estou aqui desde dois mil e treze.
Nobody has ever asked such a question before.	Ninguém jamais fizera esta pergunta antes.
Tom probably got home after midnight.	Tom deve ter chegado em casa depois da meia-noite.
I'm not going to do that with Tom.	Não vou fazer isso com o Tom.
You're not a tailor, are you?	Você não é um alfaiate, é?
Your plan sounds great.	O teu plano parece ótimo.
I think that I can do that alone.	Eu acho que consigo fazer isso sozinho.
Tom has been living in Boston since 2013.	Tom mora em Boston desde 2013.
Just stay focused.	Mantenha-se concentrado.
How many graves are there?	Quantas sepulturas existem?
The captain goes down with the ship.	O capitão afunda com o navio.
This part of the leg is red because she pulled the strip a bit too hard.	Esta parte da perna está vermelha porque levou um repuxão.
I was really young when I met you.	Eu era realmente jovem quando te conheci.
She's a foreign exchange student.	Ela é uma estudante estrangeira em intercâmbio.
He made every effort to pass the exam.	Ele fez todo o possível para passar no exame.
Tom isn't used to speaking in public.	Tom não está acostumado a falar em público.
You never have time for important things!	As senhoras jamais têm tempo para coisas importantes!
That always helps.	Isso sempre ajuda.
Did you reserve a table at the restaurant?	Você reservou uma mesa no restaurante?
We need to get some medical supplies.	Precisamos pegar alguns suprimentos médicos.
It looks perfect.	Parece perfeita.
How did you know where I'd be?	Como você sabia onde eu estaria?
What's your favorite website?	Qual é o seu site favorito?
See you later.	Até mais.
The damage was done.	O dano foi feito.
Praise shames me, for I secretly beg for it.	O elogio deixa-me envergonhado, pois secretamente busco recebê-lo.
I think the time is right to introduce this product.	Acho que esse é o momento certo de lançar esse produto.
There is no future in his job.	Esse emprego não tem futuro.
I can't live without you.	Eu não posso viver sem você.
Take this brochure.	Leve este panfleto.
Doesn't anyone care?	Ninguém se preocupa?
We bought it.	Nós temos comprado.
James and I were in Ribeirão Preto last month. It's a city in São Paulo, Brazil.	James e eu estávamos em Ribeirão Preto mês passado. É uma cidade em São Paulo, Brasil.
Tom bought a camera on sale.	O Tom comprou uma câmera na promoção.
Man is as big as the trail he leaves in the world.	O homem é do tamanho do rastro que ele deixa no mundo.
It's time you went to the barber's.	É hora de você ir ao barbeiro.
Please fill this bottle with water.	Por favor, encha essa garrafa de água.
You won't be able to bribe Tom.	Você não será capaz de subornar o Tom.
She doesn't drink anymore.	Ela não bebe mais.
We were Tom's mentors.	Eramos os mentores de Tom.
Son, don't be foolish!	Filho, não seja tolo!
We're in a deep recession.	Estamos em uma profunda recessão.
Ziri was being tortured.	Ziri estava sendo torturado.
Do not place the console or accessories on surfaces that are unstable, tilted or subject to vibration.	Não coloque o console nem os acessórios sobre superfícies instáveis, inclinadas ou sujeitas a vibrações.
A rook is a chess piece.	Uma torre é uma peça de xadrez.
This isn't for me.	Isso não é para mim.
I think Tom is progressing.	Eu acho que o Tom está progredindo.
I had to go there.	Tive que ir lá.
The company's advertising budget has been increasing steadily year after year.	O orçamento publicitário da empresa tem crescido ano após ano.
I appreciate your kind words.	Fico agradecido ao senhor por essas palavras amáveis.
They were asleep.	Eles estavam dormindo.
Let me eat in peace.	Deixe-me comer em paz.
He turns up his nose at everything.	Ele torce o nariz a tudo.
Tom is alive, though unconscious.	Tom está vivo, porém inconsciente.
God loves Sami.	Deus ama Sami.
Is it there?	Está aí?
What about your studies?	E sobre os seus estudos?
I dream of going to Mexico.	Eu sonho em ir para o México.
You are free to go out.	Vocês podem sair, se quiserem.
Mary wouldn't tell me who she'd talked to.	Mary não me contaria com quem ela teria falado.
I got embarrassed.	Eu fiquei constrangido.
I teach Spanish very well.	Eu ensino muito bem o espanhol.
He always sings while having a shower.	Ele sempre canta no chuveiro.
I have no place to go.	Eu não tenho para onde ir.
Open the box.	Abre a caixa.
Tom isn't able to drive a car.	Tom não consegue dirigir um carro.
My parents always speak to me French.	Meus pais sempre falam comigo em Francês.
He drinks far too much beer.	Ele bebe cerveja demais.
I eat a lot of fruit and I always have some in my fridge.	Como muitas frutas e sempre tenho algumas na geladeira.
We stood.	Ficamos.
I would like to go with you.	Gostaria de ir contigo.
Are we afraid of dying?	Estamos com medo de morrer?
Tom is an old friend from my youth.	Tom é um velho amigo de minha juventude.
You need a car.	Você precisa de um carro.
Then they attached bundles of leaflets to the balloons, and let the ocean wind whisk them away, off in the direction of North Korea.	Depois eles amarraram molhos de panfletos aos balões e deixaram o vento oceânico levá-los na direção da Coreia do Norte.
You should have consulted me first.	Vocês deveriam ter me consultado primeiro.
What is your favorite Pokémon?	Qual é o seu Pokémon favorito?
You can't use this.	Vocês não podem usar isso.
Don't make a scene in public.	Não faça uma cena em público.
It's confusing.	É confuso.
Tom made only a few mistakes.	Tom cometeu apenas alguns erros.
I'm sorry, but could you buy me some bread?	Desculpe, mas você poderia comprar alguns pães para mim?
I'm sure that Tom will cry.	Tenho certeza de que Tom vai chorar.
Walk along the river and you will find the school.	Ande ao longo do rio e você encontrará a escola.
I need a loan.	Eu preciso de um empréstimo.
Tom doesn't want to go home with you.	Tom não quer ir para casa com você.
You need to be more careful!	Você precisa ser mais cuidadoso!
Who's the laziest person you know?	Quem é a pessoa mais preguiçosa que vocês conhecem?
What's the best fertilizer for tomatoes?	Qual é o melhor fertilizante para tomates?
I knew Tom would have a great time.	Eu sabia que Tom se divertiria muito.
Do you like singing in the rain?	Você gosta de cantar na chuva?
Wallace says iron is still the predominant metal due to its populist appeal and its function as material for tooling and intricate art pieces.	Wallace diz que o ferro ainda é o metal predominante devido ao seu apelo populista e à sua função como material para a ornamentação e peças de arte intrincadas.
However hard you try, you can't finish it in a day.	Por mais que você tente, você não pode terminar em um dia.
Both of Tom's brothers did that.	Os dois irmãos do Tom faziam isso.
I hate long flights.	Eu odeio voos demorados.
Remember, you're pregnant.	Lembre-se, vocês estão grávidas.
Tom said he wouldn't mind if Mary did that.	Tom disse que não se importaria caso a Mary fizesse isso.
I'm still by her house.	Ainda estou pela casa dela.
The insurance policy does not cover acts of God, such as hurricanes or earthquakes.	A apólice de seguro não abrange ocorrências inevitáveis, como furacões ou terremotos.
You gave me no choice.	Você não me deixou escolha.
Please don't go.	Por favor, não vá embora.
In order to better use a language, and to understand it better, you need to learn new words.	Para usar melhor um idioma e entendê-lo melhor, é necessário aprender novas palavras.
Sorry to be so direct, but how much did you pay for this?	Desculpe-me por ser tão direto, mas quanto você pagou por isto?
