Fly!	Voe!
The job of a driver is not as easy as it looks.	O serviço de um motorista não é tão fácil como parece.
Tom took his kids to the hospital to see their mother.	Tom levou seus filhos para o hospital para ver a mãe deles.
Men are cruel, but Man is kind.	Os homens são cruéis, mas o Homem é gentil.
You'll soon get used to it.	Logo você vai se acostumar.
Tom threw his old notebooks away.	Tom jogou os antigos cadernos dele fora.
It's for you, Tom.	É para você, Tom.
I'll let you know when it's done.	Eu te avisarei quando estiver terminado.
Do you think I'm crazy?	Você acha que eu perdi o juízo?
Which of these dogs is yours?	Destes cachorros qual é o seu?
I can't make it to Boston this weekend.	Eu não posso ir para Boston nesse fim de semana.
Doctors who accepted multiple free meals were three times more likely to prescribe name brand medicine.	Os médicos que aceitavam múltiplas refeições gratuitas prescreviam medicamentos de marca com uma probabilidade três vezes maior.
I caught him stealing pears in the orchard.	Eu o peguei roubando peras no pomar.
Tom, I have something to say to you.	Tom, tenho algo a dizer para você.
Tom got a very high score on today's test.	O Tom tirou uma nota muito alta na prova de hoje.
Tom got attacked by a bear.	Tom foi atacado por um urso.
Do you understand the women and children who are here?	Você compreende as mulheres e as crianças que estão aqui?
Tom remembers.	Tom se lembra.
We ran short of money.	Nosso dinheiro acabou.
I've been stabbed three times.	Fui esfaqueado três vezes.
On election day, voters chose Nixon.	No dia da eleição, os eleitores escolheram Nixon.
The Courier published, under a sentimental poetical heading, a detailed description of the rencontre, which, without too violent a departure from the exact truth, yet succeeded in making such a powerful impression on the public mind, and evoked symptoms of such lively interest, that the vigilant newspaper was induced to keep a watchful eye for the future on any further rapprochements between the Spoelmann and Grimmburg houses.	O Courier publicou, sob um título poético sentimental, uma descrição detalhada do reencontro, que, sem se afastar demasiado violentamente da verdade exata, ainda assim conseguiu causar uma impressão tão poderosa na mente pública, e evocou sintomas de interesse tão vivos, que o jornal vigilante foi induzido a manter um olhar atento no futuro sobre quaisquer novas aproximações entre as casas Spoelmann e Grimmburg.
They arrived too soon.	Elas chegaram muito cedo.
There's a huge number of people there.	Há um gigantesco número de pessoas ali.
Hotshot!	Certeiro!
I'm afraid it's not true.	Eu não acho que seja verdade.
Have you read Tom's book?	Você leu o livro de Tom?
I love comic books.	Adoro histórias em quadrinhos.
You need formal clothes to go.	Precisa ir de traje social.
Do you still want us to help Tom?	Você ainda quer que nós ajudemos o Tom?
I watched a great movie yesterday.	Assisti a um ótimo filme ontem.
I found your diary.	Eu encontrei o teu diário.
I wondered why people stared at me.	Eu ficava imaginando por que as pessoas estavam me olhando.
Let me know when you get that report back from Tom.	Me informe quando você receber o relatório de volta do Tom.
How long have you owned this car?	Há quanto tempo você é dono deste carro?
Tom is doing the laundry.	Tom está lavando roupa.
He wants one.	Ele quer um.
Tom and Mary are friends of my family.	Tom e Mary são amigos da minha família.
What's your favorite kind of fish?	Qual é o seu tipo de peixe favorito?
I think this guy is not joking around.	Eu acho que esse garoto não está brincando.
Tom said that he needed to give Mary one more warning before he could fire her.	O Tom disse que ele precisava dar mais um conselho para a Mary antes que pudesse demiti-la.
I called Tom.	Liguei para o Tom.
Tom is bold.	Tom é ousado.
Did you do well on the test?	Saiu-se bem no teste?
Raisins are dried grapes.	Passas são uvas secas.
Tom wasn't telling the truth about you, was he?	Tom não estava falando a verdade sobre você, estava?
You lied to Tom.	Você mentiu para Tom.
I've added a tag indicating the author.	Acrescentei uma etiqueta indicando o autor.
Thank you for the tickets.	Obrigado pelos ingressos.
What do you want Tom for?	Para o que você quer o Tom?
Tom is short, isn't he?	Tom é baixo, não é?
He doesn't stop.	Ele não para.
I've got bigger problems.	Eu tive problemas maiores.
I heard what was said.	Escutei o que foi dito.
What are you going to do tomorrow afternoon?	O que você vai fazer amanhã de tarde?
He's fresh out of college.	Ele acabou de sair da universidade.
Should he come, what should I say to him?	Se ele vir, o que eu devo dizer para ele?
I thought this was a good idea.	Achei que esta era uma boa ideia.
Tom put his hat on the table.	Tom colocou o chapéu dele sobre a mesa.
That plan's bound to fail.	Esse plano está fadado ao fracasso.
You can not smoke in the class.	Não se pode fumar na sala de aula.
I think that's all very important.	Acho que tudo isso é muito importante.
She looked as if she had been ill for a long time.	Ela parecia que estava doente há muito tempo.
What'll it cost?	Quanto isso vai custar?
I don't make deals with people like you.	Eu não quero mexer com pessoas como você.
What happens if I get caught?	O que vai acontecer se eu for pego?
Tom got very overwhelmed.	O Tom ficou muito impressionado.
A big car needs a lot of fuel.	Um carro grande precisa de muito combustível.
A foreign language cannot be learned in only two weeks.	Não se pode aprender uma língua estrangeira em apenas duas semanas.
Tom's sentences are really hard to translate.	As frases do Tom são realmente difíceis de traduzir.
I'm very lucky.	Sou muito sortudo.
Tom is joking.	Tom está brincando.
I will stop you.	Eu te impedirei.
Don't forget your passport.	Não esqueça o seu passaporte.
There is nothing that can't be accomplished by an infinite number of cats.	Não há nada que não possa ser realizado por um número infinito de gatos.
I can't believe you're taking pictures of cockroaches.	Não acredito que você está fotografando baratas.
You'll need a screwdriver.	Você precisará de uma chave de fenda.
Tom knows.	Tom sabe.
You're so good at it.	Vocês são muito bons nisso.
It's awesome.	É demais!
Why is Tom afraid to swim in this river?	Por que o Tom tem medo de nadar nesse rio?
I have to study now.	Tenho de estudar agora.
I work parttime.	Trabalho em tempo parcial.
I could really use a hug.	Eu até não recusaria um abraço.
I don't know the mayor but I'd like to meet him.	Eu não conheço a prefeita, mas gostaria de conhecê-la.
My brother's apartment is in this building.	O apartamento do meu irmão fica neste prédio.
Many animals are nocturnal.	Muitos animais são noturnos.
Cool story, bro.	Que história legal, cara.
I'll go there with you.	Eu vou lá com vocês.
You've got two choices.	Você tem duas escolhas.
That's the spirit, Tom.	Esse é o espírito, Tom.
Reality TV isn't real?	Os reality-shows não são reais?
Tom isn't always late, but he often is.	Tom nem sempre chega atrasado, mas muitas vezes chega.
Do you think Obama can speak Spanish?	Você acha que Obama sabe falar espanhol?
It's time to take the pie out of the oven.	É hora de tirar a torta do forno.
I've been going to the gym for six months now but I must be doing something wrong because I still don't see any improvement.	Estou indo para a academia há seis meses, mas devo estar fazendo algo errado, pois eu ainda não vejo nenhuma melhora.
It's ready now.	Está pronta agora.
You guys are like family.	Vocês são como família.
Spanish is spoken in a whole bunch of countries.	O espanhol é falado em muitos países.
Humans aren't the only animals that use tools.	Os seres humanos não são os únicos animais que usam ferramentas.
Tom and Mary are worried.	Tom e Maria estão preocupados.
We weren't invited.	Nós não fomos convidadas.
I clicked the first link on the page.	Eu cliquei no primeiro link da página.
I need to drink water.	Eu preciso beber água.
You shouldn't have come back.	Você não deveria ter voltado.
Are you guys talking about me?	Vocês estão falando de mim?
It's not possible for humans to live forever.	Não é possível aos humanos viver para sempre.
Tom didn't trust Mary.	Tom não confiou em Maria.
Never mind!	Não te preocupes.
I met him on the previous day.	Eu o encontrei no dia anterior.
Thirteen Americans were killed.	Treze americanos foram mortos.
Tom died a couple of years ago.	Tom morreu há alguns anos atrás.
Do you feel giving gifts is important?	Vocês pensam que presentear as pessoas é importante?
Are you going to Boston next week?	Você vai para Boston na semana que vem?
This is a heavily wooded area.	Esta região é muito arborizada.
Tom has hardly any close friends.	O Tom praticamente não tem amigos íntimos.
She speaks French.	Ela fala francês.
Sing along.	Cante junto.
How's your foot?	Como está seu pé?
What is your favorite Pokémon?	Qual é o seu Pokémon favorito?
Did you push the button?	Vocês apertaram o botão?
We're from Australia.	Somos da Austrália.
Take your clothes off, please.	Tire suas roupas, por favor!
You won everything!	Vocês ganharam tudo!
I've never given a speech before.	Nunca fiz um discurso antes.
Take it to them.	Leve-o para eles.
We should've never gone there.	Nunca deveríamos ter ido lá.
This shortcut leads you straight onto the beach.	Através deste atalho, saes direto na praia.
I haven't got it yet.	Eu ainda não entendi.
How long have you lived there?	Há quanto tempo você mora aí?
Aren't they right?	Eles não estão certos?
Tom did that by himself yesterday.	O Tom fez isso sozinho ontem.
She borrows novels from Tom.	Ela empresta novelas de Tom.
I'm getting a bad feeling.	Tenho um mau pressentimento.
Get me a glass of milk.	Traga-me um copo de leite.
You come back soon, OK?	Volte logo, ok?
Tom pled guilty to second degree murder.	Tom se declarou culpado de assassinato em segundo grau.
When are you going to marry her?	Quando você vai se casar com ela?
What place do you want to go to?	Aonde você quer ir?
I made up my mind to study harder.	Eu decidi estudar com mais afinco.
My younger brother is taller than I am.	O meu irmão caçula é mais alto que eu.
Did Tom talk about it?	O Tom falou sobre isso?
I won't be able to visit you tomorrow because I'll be busy.	Não vou poder te visitar amanhã porque vou estar ocupado.
Tom is very annoying, isn't he?	Tom é muito chato, não é?
Tom is wearing the black coat he bought last week.	Tom está usando o casaco preto que ele comprou na semana passada.
She stands out from the rest.	Ela destaca-se dos demais.
I am truly happy for you.	Eu estou feliz por você, de verdade.
Tom was fearless.	Tom não tinha medo.
Linda worked as a receptionist at the corporate law firm, learning a great deal about intellectual property rights, which she found useful in her later career.	A Linda trabalhou como rececionista na firma de advocacia empresarial, aprendendo muito sobre os direitos de propriedade intelectual, o que lhe foi útil na sua carreira posterior.
